Home Assistant notifications (Log started: 2020-08-10T21:59:55.053783+00:00)
--------------------------------------------------------------------------------
2020-08-10,35.3
2020-08-11,39.62
2020-08-12,38.96
2020-08-13,33.32
2020-08-14,21.11
2020-08-15,28.21
2020-08-16,28.81
2020-08-17,15.77
2020-08-18,32.51
2020-08-19,31.2
2020-08-20,27.4
2020-08-21,17.62
2020-08-22,31.01
2020-08-23,25.33
2020-08-24,19.77
2020-08-25,25.15
2020-08-26,9.34
2020-08-27,21.59
2020-08-28,24.31
2020-08-29,27.38
2020-08-30,25.8
2020-08-31,22.56
2020-09-01,32.74
2020-09-02,24.62
2020-09-03,16.72
2020-09-04,26.72
2020-09-05,14.67
2020-09-06,28.59
2020-09-07,22.02, 72.3
2020-09-08,12.04, 77.0
2020-09-09,15.81, 71.2
2020-09-10,21.35, 71.8
2020-09-11,25.31, 73.6
2020-09-12,27.73, 53.9
2020-09-13,23.0, 73.8
2020-09-14,27.44, 77.4
2020-09-15,24.48, 67.6
2020-09-16,22.82, 72.9
2020-09-17,27.52, 66.9
2020-09-18,27.21, 69.9
2020-09-19,24.81, 67.4
2020-09-20,24.41, 68.0
2020-09-21,23.77, 71.1
2020-09-22,22.85, 73.0
2020-09-23,21.01, 74.6
2020-09-24,20.49, 64.3
2020-09-25,20.62, 67.5
2020-09-26,8.36, 76.5
2020-09-27,7.96, 78.8
2020-09-28,14.37, 70.4
2020-09-29,20.6, 70.3
2020-09-30,13.49, 77.4
2020-10-01,17.1, 71.5
2020-10-02,16.28, 73.2
2020-10-03,13.33, 66.2
2020-10-04,12.38, 69.4
2020-10-05,11.29, 70.8
2020-10-06,10.21, 77.8
2020-10-07,10.46, 73.7
2020-10-08,4.85, 98.3
2020-10-09,11.72, 80.6
2020-10-10,13.66, 71.1
2020-10-11,10.91, 74.4
2020-10-12,11.25, 68.7
2020-10-13,14.72, 71.3
2020-10-14,8.27, 75.6
2020-10-15,9.7, 76.0
